Log Time,RPM,TPS,IAP,HO2,HO2 Wideband,IGN,STP,GEAR,CLUTCH,NT,BOOST,IP,AP,CLT,IAT,BATT,PAIR,FUEL1,FUEL2,FUEL3,FUEL4,HOX_ON,ECU_COV1,IAP_8bit,PRESSURE,ECU_AN15,DUTY,TARGET_BOOST,OVERBOOST,GEAR_IGN_RETARD,BOOST_IGN_RETARD,TOTAL_IGN_RETARD,PRIMARY_INJ,SECONDARY_INJ,New Data Rate %,,,,,,,,,,,,,,,,,,,,,,,
00:00:01.208,128,241,18,52,97,8,8,1,5,161,1,16,161,1,167,255,255,14,152,58,121,70,71,184,178,105,0,255,116,41,255,6,137,6,98,6,114,6,196,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:01.283,58,61,105,420,83,26,0,Out,TRUE,255,123,184,70,18,177,0,1697,1690,1684,1715,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:01.283,128,241,18,52,97,8,8,1,5,161,1,16,161,1,166,255,255,14,158,58,123,70,71,184,177,105,0,255,116,41,255,6,161,6,154,6,148,6,179,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:01.359,58,63,102,408,83,26,0,Out,TRUE,255,121,184,70,2,177,0,1669,1643,1652,1709,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:01.359,128,241,18,52,97,8,8,1,5,161,1,16,161,1,154,255,255,15,2,58,121,70,71,184,177,102,0,255,116,41,255,6,133,6,107,6,116,6,173,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:01.434,58,62,102,408,83,26,0,Out,TRUE,255,123,185,70,18,179,0,1694,1711,1669,1692,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:01.434,128,241,18,52,97,8,8,1,5,161,1,16,161,1,154,255,255,14,89,58,123,70,72,185,179,102,0,255,116,41,255,6,158,6,175,6,133,6,156,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:01.508,58,62,102,408,83,26,0,Out,TRUE,255,122,184,70,254,178,0,1677,1689,1663,1742,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:01.508,128,241,18,52,97,8,8,1,5,161,1,16,161,1,155,255,255,14,254,58,122,70,71,184,178,102,0,255,116,41,255,6,141,6,153,6,127,6,206,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:01.583,58,58,102,408,83,26,0,Out,TRUE,255,126,184,70,87,176,0,1677,1627,1655,1698,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:01.583,128,241,18,52,97,8,8,1,5,161,1,16,161,1,154,255,255,14,167,58,126,70,71,184,176,102,0,255,116,41,255,6,141,6,91,6,119,6,162,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:01.659,57,56,102,408,83,26,0,Out,TRUE,255,128,184,70,0,177,0,1686,1658,1638,1706,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:01.659,128,241,18,52,97,8,8,1,5,161,1,16,161,1,152,255,255,15,19,57,128,70,72,184,177,102,0,255,116,41,255,6,150,6,122,6,102,6,170,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:01.734,57,55,101,404,83,26,0,Out,TRUE,255,129,184,70,128,178,0,1669,1621,1630,1684,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:01.734,128,241,18,52,97,8,8,1,5,161,1,16,161,1,150,255,255,15,37,57,129,70,71,184,178,101,0,255,116,41,255,6,133,6,85,6,94,6,148,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:01.808,58,56,100,400,83,26,0,Out,TRUE,255,128,184,70,242,177,0,1650,1596,1603,1658,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:01.808,128,241,18,52,97,8,8,1,5,161,1,16,161,1,146,255,255,14,242,58,128,70,71,184,177,100,0,255,116,41,255,6,114,6,60,6,67,6,122,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:01.883,57,60,100,400,83,26,0,Out,TRUE,255,124,184,70,2,177,0,1648,1618,1603,1671,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:01.883,128,241,18,52,97,8,8,1,5,161,1,16,161,1,146,255,255,15,19,57,124,70,71,184,177,100,0,255,116,41,255,6,112,6,82,6,67,6,135,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:01.958,58,61,99,396,83,26,0,Out,TRUE,255,123,184,70,18,177,0,1628,1580,1605,1642,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:01.958,128,241,18,52,97,8,8,1,5,161,1,16,161,1,142,255,255,15,5,58,123,70,71,184,177,99,0,255,116,41,255,6,92,6,44,6,69,6,106,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:02.036,57,58,99,396,83,26,0,Out,TRUE,255,126,184,70,60,178,0,1635,1606,1606,1691,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:02.036,128,241,18,52,97,8,8,1,5,161,1,16,161,1,142,255,255,14,60,57,126,70,71,184,178,99,0,255,116,41,255,6,99,6,70,6,70,6,155,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:02.110,57,57,96,384,83,26,0,Out,TRUE,255,128,185,70,35,178,0,1737,1723,1691,1766,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:02.110,128,241,18,52,97,8,8,1,5,161,1,16,161,1,131,255,255,14,74,57,128,70,71,185,178,96,0,255,116,41,255,6,201,6,187,6,155,6,230,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:02.186,58,53,96,384,83,26,0,Out,TRUE,255,131,184,70,6,178,0,1675,1630,1692,1766,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:02.186,128,241,18,52,97,8,8,1,5,161,1,16,161,1,130,255,255,14,238,58,131,70,72,184,178,96,0,255,116,41,255,6,139,6,94,6,156,6,230,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:02.261,57,55,96,384,83,26,0,Out,TRUE,255,129,184,70,8,178,0,1681,1661,1633,1675,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:02.261,128,241,18,52,97,8,8,1,5,161,1,16,161,1,130,255,255,14,115,57,129,70,72,184,178,96,0,255,116,41,255,6,145,6,125,6,97,6,139,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:02.336,58,58,96,384,83,26,0,Out,TRUE,255,127,185,70,5,178,0,1659,1586,1645,1693,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:02.336,128,241,18,52,97,8,8,1,5,161,1,16,161,1,128,255,255,15,81,58,127,70,71,185,178,96,0,255,116,41,255,6,123,6,50,6,109,6,157,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
